$296.2 B,50,Elon Musk,"Tesla, SpaceX",United States
$210.7 B,57,Amazon,Jeff Bezos,United States
$200.6 B,72,Bernard Arnault & family,France,LVMH
$139.0 B,66,Bill Gates,Microsoft,United States
$128.2 B,77,Larry Ellison,United States,software
$127.2 B,48,Google,Larry Page,United States
$123.5 B,37,Facebook,Mark Zuckerberg,United States
$122.5 B,48,Google,Sergey Brin,United States
$107.7 B,65,Microsoft,Steve Ballmer,United States
$102.1 B,91,Berkshire Hathaway,United States,Warren Buffett
$94.9 B,64,India,Mukesh Ambani,diversified
$94.4 B,68,France,Francoise Bettencourt Meyers & family,L'Oréal
$80.1 B,59,Gautam Adani & family,India,"infrastructure, commodities"
$79.4 B,66,China,Zhong Shanshan,"beverages, pharmaceuticals"
$79.0 B,85,Amancio Ortega,Spain,Zara
$75.4 B,81,Carlos Slim Helu & family,Mexico,telecom
$66.3 B,73,Jim Walton,United States,Walmart
$65.4 B,72,Alice Walton,United States,Walmart
$65.1 B,77,Rob Walton,United States,Walmart
$63.4 B,83,Nike,Phil Knight & family,United States
$61.8 B,51,Amazon,MacKenzie Scott,United States
$59.4 B,37,China,TikTok,Zhang Yiming
$59.0 B,79,Bloomberg LP,Michael Bloomberg,United States
$57.9 B,56,Dell computers,Michael Dell,United States
$57.4 B,52,Hong Kong,Robin Zeng,batteries
